	logFC	logCPM	PValue
aagr-3	-0.677	7.86	0.206
aagr-4	-2.46	3.34	0.231
aak-1	0.981	7.12	0.213
aak-2	-0.726	6.5	0.47
aakb-1	-4.01	3.63	0.0356
aakg-2	-1.7	5.58	0.235
aakg-5	0.776	8.41	0.0687
aap-1	1.52	7.76	0.0291
aars-1	1.91	6.41	0.0662
aars-2	0.952	8.17	0.114
aat-1	-2.53	2.59	0.219
aat-2	-1.49	3.72	0.426
aat-3	-1.22	4.74	0.475
aat-9	-1.54	3.25	0.422
abce-1	-2.2	5.48	0.153
abcf-1	-0.279	8.47	0.52
abcf-2	-0.0566	8.64	0.891
abcf-3	-0.518	7.1	0.491
abi-1	0.638	8.73	0.123
abl-1	-1.39	6.91	0.175
abtm-1	-0.634	6.74	0.527
abts-1	-0.225	8.37	0.613
abts-4	-6.05	5.42	0.000769
acbp-1	-0.768	5.46	0.574
acbp-5	0.711	7.19	0.337
acdh-10	2.06	7.46	0.01
acdh-11	0.238	6.3	0.823
acdh-12	0.103	7.7	0.862
acdh-13	-0.703	6.92	0.54
acdh-3	1.14	7.99	0.0417
acdh-7	1.59	5.55	0.23
acdh-9	-0.632	5.28	0.655
ace-1	-2.99	2.88	0.138
acin-1	0.779	7.9	0.168
acl-1	2.19	4.77	0.253
acl-11	-0.921	7.02	0.297
acl-12	-2.08	5.01	0.213
acl-14	-0.152	7.91	0.808
acl-2	0.358	7.35	0.633
acl-3	-0.147	7.7	0.797
acl-4	1.3	7.74	0.0378
acl-5	-0.0667	5.51	0.973
acl-6	0.792	8.75	0.0529
acl-8	2.97	3.11	0.146
acl-9	-0.305	8.33	0.61
aco-1	-0.34	6.84	0.697
aco-2	0.841	7.3	0.354
acr-10	4.39	3.71	0.0539
acr-11	1.15	3.91	0.557
acr-16	-5.29	4.72	0.00779
acr-17	-2.93	2.85	0.161
acs-11	-0.0707	7.58	0.921
acs-13	1.57	9.24	0.000135
acs-17	-3.04	2.92	0.107
acs-19	0.925	9.49	0.023
acs-2	1.13	4.22	0.576
acs-20	-0.343	5.84	0.835
acs-21	2.22	4.2	0.258
acs-4	0.414	9.28	0.355
act-1	-0.0498	6.95	0.959
act-2	0.678	9.24	0.0868
act-3	-0.221	8.42	0.645
act-4	1.2	6.44	0.25
ada-2	0.912	8.11	0.0725
adbp-1	-0.286	6.37	0.784
add-2	0.314	7.42	0.633
adm-2	-2.93	4.99	0.0831
adm-4	-1.5	7.3	0.0424
adr-1	4.58	3.87	0.0453
adr-2	0.54	7.71	0.36
afd-1	-0.9	5.11	0.539
aff-1	5.26	4.46	0.0239
age-1	1.21	7.74	0.0445
agef-1	-0.604	6.28	0.572
agl-1	4.2	3.55	0.0632
ags-3	1.36	6.47	0.193
agt-1	-0.916	5.43	0.509
agt-2	0.637	8.01	0.209
AH9.3	-0.192	5.96	0.881
aha-1	0.488	6.24	0.656
ahcy-1	0.799	8.91	0.0542
aho-3	-0.0301	8.07	0.958
ain-1	-1.12	6.51	0.42
ain-2	-0.465	7.29	0.495
aip-1	1.11	5.66	0.425
aipl-1	0.624	8.38	0.152
air-1	-0.085	9.37	0.831
air-2	-0.118	7.52	0.848
ajm-1	1.21	5.08	0.514
aka-1	0.331	9.22	0.424
akt-1	-0.00951	9.12	0.983
akt-2	-2.18	4.4	0.286
aldo-1	6.35	5.47	0.00599
aldo-2	1.67	8.93	4.58e-05
alg-1	-0.638	5.29	0.702
alg-2	-0.125	7.58	0.849
alh-1	1.79	8.36	0.00025
alh-11	0.632	5.01	0.726
alh-13	3.38	3.69	0.113
alh-3	0.301	4.52	0.888
alh-4	0.749	6.95	0.385
alh-6	-0.112	4.52	0.966
alh-7	-1.86	4.38	0.279
alh-8	0.856	6.69	0.42
alh-9	1.38	6.66	0.135
alp-1	-0.643	6.46	0.523
alx-1	0.697	7.29	0.314
aly-1	0.203	5.92	0.869
aly-2	0.823	8.18	0.0926
aly-3	0.266	8.21	0.587
ama-1	-0.433	7.13	0.557
aman-2	-0.19	8.03	0.712
amph-1	0.368	5.79	0.8
amx-1	0.916	7.06	0.231
anc-1	-3.74	3.42	0.0809
ani-1	0.802	8.07	0.108
ani-2	1.16	8.86	0.0222
ani-3	1.15	7.94	0.0424
ant-1.1	0.872	10.6	0.0231
ant-1.3	-2.59	2.63	0.196
aos-1	-0.924	7.89	0.0887
apa-2	-0.298	6.65	0.829
apb-1	-0.423	6.71	0.648
apb-3	0.863	8.56	0.0471
apc-10	0.811	7.57	0.186
apc-11	-0.117	6.06	0.933
apc-16	-1.09	5.63	0.402
apc-2	0.401	7.62	0.492
apd-3	-0.618	7.03	0.519
ape-1	-0.178	8.59	0.705
apg-1	0.486	7.72	0.391
aph-1	-0.146	7.36	0.825
aph-2	-0.893	7.19	0.236
apm-1	1.64	4.53	0.372
apm-3	0.206	7.2	0.796
apn-1	-0.0901	7.43	0.895
app-1	0.291	8.83	0.475
apr-1	0.766	8.62	0.125
aps-1	-3.15	5.93	0.0344
aps-2	-1.76	5.49	0.19
aps-3	-0.439	6.35	0.721
apx-1	-1.05	6.88	0.209
apy-1	-0.218	5.75	0.872
aqp-10	-2.88	5.62	0.0639
aqp-11	-2.14	4.27	0.195
aqp-12	-1.51	4.59	0.331
aqp-2	3.76	3.21	0.0921
arc-1	-3.47	3.74	0.0681
ard-1	-0.631	6.99	0.432
arf-1.2	-0.389	8.94	0.331
arf-3	0.286	8.72	0.509
ari-1	-0.363	8.02	0.474
ark-1	-0.786	6.35	0.468
arl-1	-0.102	7.73	0.881
arl-5	-0.654	6.87	0.45
arl-8	-0.171	8.55	0.73
arp-1	0.525	7.33	0.442
arp-11	-0.208	6.85	0.814
arr-1	0.94	6.05	0.425
arrd-12	-2.26	2.44	0.288
arrd-13	2.37	6.51	0.0252
arrd-18	-4.69	4.76	0.0144
arrd-19	2.34	5.79	0.0856
arrd-2	0.00934	5.47	1
arrd-22	-2.99	2.88	0.152
arrd-25	-1.66	5.02	0.288
arrd-7	-2.99	2.89	0.151
art-1	-0.324	7.87	0.541
arx-1	0.242	7.67	0.67
arx-2	0.901	8.86	0.0337
arx-3	0.319	7.47	0.604
arx-4	-0.657	7.25	0.34
arx-5	-0.138	5.55	0.931
arx-6	-0.684	6.46	0.487
arx-7	0.183	5.88	0.884
asb-1	-0.181	8.77	0.671
asb-2	0.107	6.72	0.913
asc-1	1.54	6.29	0.173
asd-1	-0.235	7.05	0.759
asd-2	5.06	5.47	0.0183
asfl-1	0.726	7.68	0.216
asg-1	0.192	6.95	0.843
asg-2	-0.756	5.53	0.573
ash-2	0.219	7.5	0.727
asna-1	0.0968	7.43	0.876
asna-2	6.73	5.83	0.00291
aspm-1	-0.512	7.67	0.471
atad-3	-0.372	7.94	0.495
atf-6	-3.63	6.14	0.0113
atf-7	1.12	8.91	0.0092
atg-10	-3.15	3.26	0.106
atg-11	0.303	6.7	0.752
atg-13	-0.18	8	0.721
atg-16.1	1.26	6.81	0.148
atg-16.2	0.62	7.84	0.248
atg-18	0.825	8.83	0.0441
atg-2	-0.0257	5.82	0.992
atg-3	0.926	6.76	0.331
atg-4.1	0.863	3.2	0.611
atg-4.2	0.0352	6.49	0.975
atg-5	0.0264	6.03	0.992
atg-7	1.37	7.58	0.0309
atgp-1	1.45	4.86	0.425
atgp-2	2.35	5.55	0.104
ath-1	-0.288	6.8	0.74
athp-1	0.702	5.81	0.577
atl-1	1.01	6.64	0.313
atm-1	0.331	5.9	0.808
atn-1	-3.57	3.29	0.0565
atp-2	0.556	10	0.147
atp-3	0.78	8.66	0.104
atp-4	-0.132	6.98	0.871
atp-5	0.0618	8.32	0.892
atx-2	1.2	7.86	0.0224
atx-3	-0.0483	6.81	0.964
ave-1	-0.322	5.23	0.841
B0001.2	1.49	8.93	0.000279
B0001.3	0.856	5.77	0.532
B0001.4	0.256	7.26	0.718
B0001.5	1.07	6.67	0.281
B0001.6	0.376	6.92	0.654
B0001.7	0.485	7.86	0.382
B0001.8	-0.374	7.33	0.569
B0019.2	0.395	6.7	0.659
B0024.10	3.28	6.58	0.00208
B0024.11	0.15	8.07	0.752
B0024.13	-0.318	7.98	0.53
B0024.3	0.792	5.23	0.66
B0025.4	-0.589	6.59	0.551
B0035.1	-0.0252	8.12	0.963
B0035.11	0.715	8.31	0.116
B0035.12	0.88	8.34	0.044
B0035.15	0.608	7.61	0.331
B0035.16	-1.95	5.29	0.237
B0035.18	-0.497	4.99	0.771
B0035.3	0.252	8.74	0.547
B0035.6	0.928	9.05	0.0201
B0041.3	-1.81	4.6	0.259
B0041.5	0.431	8.18	0.343
B0041.8	0.3	8.74	0.472
B0205.1	0.279	7.53	0.67
B0205.11	0.13	7.28	0.865
B0205.6	-1.46	6.29	0.219
B0205.8	0.169	5.7	0.908
B0205.9	0.0554	7.54	0.926
B0207.6	0.677	7.55	0.324
B0212.3	0.889	5.81	0.584
B0228.6	-1.16	4.95	0.566
B0228.7	-1.13	4.01	0.533
B0238.1	5.08	4.29	0.028
B0238.10	1.34	7.38	0.0616
B0238.11	0.732	8.18	0.142
B0238.15	-2.41	3.33	0.241
B0238.9	0.638	8.03	0.196
B0250.5	-1.12	6.23	0.306
B0261.1	2.39	7.91	2.44e-05
B0261.4	0.502	5.75	0.716
B0261.7	0.34	8.58	0.453
B0261.8	-2.84	4.15	0.131
B0272.3	0.313	7.1	0.682
B0273.3	-1.01	3.74	0.571
B0280.9	-0.408	7.89	0.43
B0281.5	-2.9	5.68	0.0603
B0285.3	0.164	6.69	0.872
B0285.4	-0.773	7.61	0.196
B0286.3	-2.91	2.83	0.162
B0303.14	-3.58	4.03	0.0603
B0303.15	-0.967	6.37	0.358
B0303.3	0.424	7.56	0.501
B0303.4	0.228	8.38	0.607
B0303.7	-0.154	6.51	0.917
B0304.2	0.147	6.9	0.864
B0304.4	0.829	6.28	0.47
B0310.2	0.0734	5.64	0.963
B0334.15	-1.76	4.1	0.346
B0334.17	-1.8	3.1	0.329
B0334.3	1.2	6.95	0.134
B0334.4	-0.37	8.49	0.413
B0334.5	1.98	7.43	0.00244
B0336.13	-0.708	7.08	0.356
B0336.3	-0.845	7.39	0.225
B0336.5	0.532	7.96	0.304
B0336.7	0.39	5.5	0.815
B0361.2	-0.506	7.08	0.497
B0361.3	0.531	7.92	0.434
B0361.6	0.281	7.76	0.634
B0361.8	0.689	8.53	0.113
B0361.9	2.32	6.58	0.0319
B0365.1	0.607	6.19	0.601
B0391.8	-2.86	3.06	0.184
B0393.3	0.862	9.26	0.0375
B0393.6	0.466	8.02	0.377
B0393.9	-4.74	4.24	0.0327
B0395.3	1.36	6.66	0.266
B0410.3	-3.84	3.5	0.0724
B0412.3	1.05	6.97	0.206
B0416.4	-0.177	6.27	0.879
B0416.5	-0.507	8.4	0.295
B0432.10	-0.537	6.63	0.579
B0432.13	-1.35	6.17	0.23
B0432.14	-2.31	4.09	0.174
B0432.6	-4.49	4.02	0.0208
B0432.8	0.683	6.61	0.509
B0454.6	-2.69	2.69	0.156
B0454.9	0.459	4.36	0.803
B0464.2	0.908	8.06	0.0683
B0464.6	-0.141	8.59	0.749
B0464.9	2.15	6.96	0.00896
B0491.1	1.26	3.97	0.496
B0491.5	-0.316	7.53	0.616
B0491.6	0.654	6.27	0.651
B0491.7	-2.37	5.42	0.149
B0495.2	0.824	6.85	0.386
B0495.5	-2.07	6.01	0.0951
B0495.6	0.0525	5.37	0.979
B0495.7	-0.504	5.7	0.754
B0495.8	0.505	7.25	0.47
B0495.9	1.46	7.19	0.0463
B0507.2	0.225	4.51	0.921
B0511.12	0.0455	7.48	0.947
B0511.13	-1.1	7.67	0.0615
B0511.6	-0.112	7.46	0.887
B0511.7	0.043	7.65	0.945
B0513.2	0.955	6.93	0.278
B0546.2	1.34	7.55	0.0248
B0546.3	-2.22	2.42	0.291
B0546.4	-0.215	5.34	0.877
B0564.11	-0.153	5.96	0.905
B0564.2	-2.98	4.16	0.103
B0564.7	0.591	7.06	0.455
baf-1	-1.05	7.71	0.0719
bag-1	-0.513	7.02	0.513
bam-2	1.29	3.1	0.538
bath-1	2.71	4.95	0.111
bath-15	-1.29	6.64	0.174
bath-2	-0.609	5.82	0.639
bath-27	-0.783	5.88	0.517
bath-28	-0.535	5.85	0.666
bath-29	-0.0472	5.93	0.975
bath-30	0.452	6.9	0.586
bath-34	-1.27	3.1	0.541
bath-36	-0.588	5.59	0.668
bath-38	1.07	6.02	0.378
bath-39	0.797	6.88	0.379
bath-4	-2.59	4.07	0.146
bath-40	0.445	7.07	0.587
bath-41	-0.21	8.28	0.652
bath-42	0.182	9.23	0.671
bath-43	0.621	8.36	0.234
bath-44	-0.558	7.83	0.335
bath-5	-0.817	6.96	0.306
bath-6	1.46	5.33	0.376
bca-1	-0.114	5.2	0.962
bca-2	-1.75	5.13	0.291
bcs-1	0.715	7.43	0.25
BE0003N10.1	-0.558	5.12	0.731
BE10.4	-0.343	3.51	0.884
bec-1	-0.984	5.56	0.492
bed-1	2.26	5.62	0.0986
bed-2	-2.08	4.38	0.22
bed-3	3.1	3.56	0.134
ben-1	3.59	3.57	0.0587
bet-1	-2.32	2.92	0.25
bet-2	-0.39	7.4	0.639
bir-1	-0.918	6.71	0.308
bir-2	-0.492	6.82	0.605
bli-4	0.223	8.98	0.586
blmp-1	-2.89	2.82	0.161
bmk-1	2.09	6.5	0.0534
bmy-1	-0.326	6.9	0.709
bpl-1	2.2	3.9	0.245
bra-1	-1.98	4.8	0.195
bra-2	1.01	7.59	0.114
brc-1	-0.165	5.64	0.911
brc-2	0.259	7.21	0.712
brd-1	0.412	7.17	0.597
bre-3	2.48	6.46	0.0231
bre-4	-0.346	5.75	0.836
bre-5	-0.963	6.95	0.237
brf-1	1.02	8.17	0.0313
btb-19	-1.19	6.69	0.368
btb-20	-1.22	2.97	0.538
btb-3	-2.69	2.69	0.186
btb-4	-0.886	5.08	0.546
btb-5	-2.95	2.86	0.15
btb-6	-0.995	6	0.39
btb-7	1.99	2.66	0.307
btf-1	-1.77	5.44	0.222
bub-1	0.971	7.34	0.137
bub-3	0.962	8.14	0.0738
bus-19	-2.59	2.63	0.2
byn-1	-0.523	7.12	0.477
C01A2.3	-1.74	6.67	0.157
C01A2.4	-0.00976	6.34	1
C01A2.5	-0.192	8.59	0.645
C01B10.3	-3.88	3.53	0.0698
C01B10.8	0.133	7.96	0.802
C01B10.9	-0.142	8.01	0.807
C01B12.2	-1.69	5.99	0.257
C01B12.8	0.753	7.02	0.41
C01B12.9	-3.24	3.05	0.0847
C01F1.1	1.17	7.43	0.108
C01F1.4	-3.09	2.95	0.127
C01F1.6	1.39	7.07	0.0863
C01F6.9	-0.551	5.51	0.69
C01G10.10	1.84	6.84	0.0778
C01G10.7	0.118	6.82	0.897
C01G10.8	0.0382	8.5	0.932
C01G12.1	1.08	4.25	0.552
C01G12.3	1.73	4.11	0.349
C01G5.5	-0.0594	6.78	0.958
C01G5.6	-0.227	8.57	0.598
C01G5.9	-2.61	2.64	0.202
C01G6.3	-0.137	8.51	0.771
C01G6.4	-0.136	7.28	0.846
C01G6.5	0.424	8.72	0.307
C01G8.1	1.35	9.12	0.00247
C01G8.6	-0.101	5.84	0.948
C01H6.9	0.347	6.46	0.758
C02B10.2	-0.589	6.49	0.546
C02B10.4	-0.192	7.75	0.73
C02B10.5	2.89	4.74	0.14
C02B8.6	-2.21	5.71	0.0975
C02C6.3	-0.563	4.54	0.783
C02D5.2	-4.94	4.41	0.00897
C02D5.4	-0.107	6.27	0.921
C02F12.8	-0.611	5.53	0.647
C02F5.12	1.02	6.35	0.365
C02F5.13	-1.4	6.52	0.185
C02F5.3	0.465	7.48	0.496
C02F5.6	0.255	7.5	0.687
C02F5.7	-2.95	4.54	0.142
C03A3.2	0.244	7	0.761
C03B1.7	0.614	4.11	0.702
C03C10.4	-0.557	6.86	0.514
C03H12.1	-0.321	5.49	0.824
C03H5.2	-1.07	7.08	0.232
C03H5.3	1.32	8.27	0.00392
C03H5.5	-5.56	4.97	0.00237
C04A11.2	-0.458	4.91	0.795
